iter	Passed	Remaining
619	29275	17943
620	29323	17896
621	29372	17850
622	29424	17806
623	29467	17756
624	29509	17705
625	29557	17658
626	29605	17612
627	29648	17562
628	29693	17513
629	29744	17468
630	29786	17418
631	29831	17369
632	29872	17319
633	29914	17269
634	29959	17220
635	30005	17173
636	30051	17125
637	30096	17076
638	30145	17030
639	30192	16983
640	30240	16936
641	30289	16890
642	30348	16849
643	30392	16801
644	30437	16752
645	30481	16703
646	30522	16652
647	30564	16602
648	30610	16555
649	30652	16505
650	30712	16465
651	30750	16413
652	30795	16364
653	30840	16316
654	30889	16270
655	30937	16223
656	31011	16190
657	31059	16143
658	31106	16096
659	31150	16046
660	31197	15999
661	31243	15951
662	31294	15906
663	31340	15859
664	31391	15813
665	31440	15767
666	31493	15723
667	31539	15675
668	31589	15629
669	31643	15585
670	31692	15539
671	31741	15492
672	31790	15446
673	31830	15395
674	31880	15349
675	31923	15300
676	31968	15252
677	32023	15208
678	32071	15162
679	32115	15113
680	32161	15065
681	32210	15018
682	32256	14971
683	32322	14932
684	32372	14886
685	32423	14840
686	32475	14795
687	32524	14749
688	32574	14703
689	32623	14657
690	32662	14606
691	32708	14558
692	32749	14508
693	32792	14459
694	32839	14411
695	32879	14361
696	32925	14313
697	32967	14263
698	33015	14217
699	33068	14172
700	33115	14124
701	33168	14079
702	33217	14033
703	33266	13986
704	33322	13943
705	33371	13897
706	33426	13852
707	33473	13805
708	33521	13758
709	33567	13710
710	33608	13660
711	33648	13610
712	33696	13563
713	33739	13514
714	33783	13466
715	33832	13419
716	33878	13371
717	33926	13324
718	33971	13276
719	34020	13230
720	34069	13183
721	34116	13136
722	34171	13092
723	34218	13044
724	34264	12996
725	34319	12952
726	34373	12907
727	34423	12861
728	34474	12815
729	34521	12768
730	34571	12721
731	34615	12673
732	34658	12624
733	34702	12576
734	34750	12528
735	34795	12480
736	34845	12434
737	34889	12386
738	34931	12337
739	34980	12290
740	35029	12243
741	35074	12195
742	35122	12148
743	35168	12100
744	35219	12055
745	35257	12004
746	35305	11957
747	35354	11910
748	35401	11863
749	35444	11814
750	35492	11767
751	35543	11721
752	35584	11672
753	35623	11622
754	35663	11572
755	35707	11524
756	35752	11476
757	35796	11428
758	35846	11382
759	35890	11333
760	35929	11284
761	35973	11235
762	36026	11190
763	36069	11141
764	36118	11095
765	36157	11045
766	36211	11000
767	36249	10950
768	36290	10901
769	36330	10852
770	36390	10808
771	36435	10760
772	36488	10715
773	36533	10667
774	36575	10618
775	36623	10571
776	36667	10523
777	36705	10473
778	36753	10426
779	36798	10379
780	36840	10330
781	36879	10280
782	36920	10232
783	36960	10182
784	37005	10135
785	37050	10087
786	37098	10040
787	37140	9992
788	37183	9944
789	37228	9896
790	37270	9847
791	37315	9800
792	37367	9754
793	37414	9706
794	37467	9661
795	37512	9613
796	37558	9566
797	37606	9519
798	37652	9472
799	37702	9425
800	37747	9377
801	37792	9330
802	37836	9282
803	37881	9234
804	37934	9189
805	37984	9142
806	38033	9095
807	38081	9049
808	38129	9002
809	38178	8955
810	38223	8907
811	38266	8859
812	38309	8811
813	38359	8765
814	38408	8718
815	38448	8669
816	38496	8622
817	38537	8574
818	38586	8527
819	38635	8481
820	38679	8433
821	38721	8385
822	38765	8337
823	38808	8289
824	38849	8240
825	38895	8193
826	38943	8146
827	38982	8097
828	39028	8050
829	39074	8003
830	39126	7957
831	39170	7909
832	39213	7861
833	39260	7814
834	39307	7767
835	39351	7719
836	39416	7676
837	39462	7628
838	39513	7582
839	39555	7534
840	39597	7486
841	39646	7439
842	39696	7393
843	39744	7346
844	39790	7298
845	39841	7252
846	39889	7205
847	39929	7157
848	39973	7109
849	40014	7061
850	40059	7013
851	40102	6966
852	40146	6918
853	40193	6871
854	40238	6824
855	40285	6777
856	40330	6729
857	40378	6682
858	40443	6638
859	40489	6591
860	40539	6544
861	40584	6497
862	40631	6450
863	40674	6402
864	40726	6356
865	40765	6307
866	40809	6260
867	40855	6212
868	40900	6165
869	40943	6118
870	40988	6070
871	41030	6022
872	41071	5974
873	41111	5926
874	41156	5879
875	41199	5831
876	41246	5784
877	41293	5737
878	41340	5690
879	41384	5643
880	41440	5597
881	41488	5550
882	41535	5503
883	41576	5455
884	41625	5408
885	41668	5361
886	41709	5313
887	41750	5265
888	41797	5218
889	41850	5172
890	41898	5125
891	41939	5077
892	41981	5030
893	42024	4982
894	42067	4935
895	42109	4887
896	42155	4840
897	42199	4793
898	42246	4746
899	42289	4698
900	42334	4651
901	42382	4604
902	42438	4558
903	42491	4512
904	42536	4465
905	42588	4418
906	42637	4371
907	42688	4325
908	42726	4277
909	42772	4230
910	42817	4183
911	42866	4136
912	42909	4088
913	42956	4041
914	43008	3995
915	43075	3950
916	43124	3903
917	43164	3855
918	43216	3809
919	43264	3762
920	43311	3715
921	43362	3668
922	43411	3621
923	43466	3575
924	43511	3527
925	43560	3481
926	43614	3434
927	43652	3386
928	43700	3339
929	43748	3292
930	43794	3245
931	43844	3198
932	43893	3152
933	43939	3104
934	43983	3057
935	44033	3010
936	44083	2963
937	44127	2916
938	44175	2869
939	44216	2822
940	44264	2775
941	44308	2728
942	44356	2681
943	44401	2633
944	44455	2587
945	44508	2540
946	44560	2493
947	44607	2446
948	44647	2399
949	44690	2352
950	44738	2305
951	44780	2257
952	44832	2211
953	44877	2163
954	44925	2116
955	44974	2069
956	45012	2022
957	45057	1975
958	45105	1928
959	45150	1881
960	45203	1834
961	45250	1787
962	45297	1740
963	45341	1693
964	45392	1646
965	45436	1599
966	45489	1552
967	45535	1505
968	45585	1458
969	45627	1411
970	45678	1364
971	45721	1317
972	45764	1269
973	45809	1222
974	45852	1175
975	45896	1128
976	45952	1081
977	45999	1034
978	46043	987
979	46087	940
980	46133	893
981	46174	846
982	46217	799
983	46262	752
984	46303	705
985	46345	658
986	46384	610
987	46431	563
988	46479	516
989	46601	470
990	46657	423
991	46702	376
992	46745	329
993	46788	282
994	46828	235
995	46866	188
996	46913	141
997	46952	94
998	46998	47
999	47039	0
